Molecule,SMILES,Force,Predicted Type,Result,BeginAtom,EndAtom,atom1,atom2,atom1_2,atom2_2,atom1_3,atom2_3,atom1_4,atom2_4
2001,O=C(C)O[C@@]1(F)[C@](OC(C)=O)(F)[C@]2(F)[C@@]3([H])[C@]4([H])CC[C@]4([H])[C@@]3([H])[C@@]21F,3.4,1,0,23,24,15,16,,,,,,
2002,O=C(C)O[C@@]1([H])[C@](OC(C)=O)([H])[C@]2([H])[C@@]3(F)[C@]4(F)CC[C@]4(F)[C@@]3(F)[C@@]21[H],3.6,1,1,23,24,15,16,,,,,,
2003,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC=C5,5.1,7,1,42,66,29,30,,,,,,
2004,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC(N(CC)CC)=C5,4.9,7,1,42,65,29,30,,,,,,
2005,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC(OC)=C5,5.1,7,1,42,65,29,30,,,,,,
2006,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC6=C5C=CC=C6,5.1,7,1,41,64,28,29,,,,,,
2007,CCN(CCC(C(OC)=O)C(C(OC)=O)C)C1=CC2=C(C=C1)[C@@]3(N([C@@H]([C@H](C(OC)=O)C)C(OC)=O)C(C4=C3C=CC=C4)=O)C=C(C5=CC6=C(C=C(N(CC)CC)C=C6)OC5=O)O2,4.8,7,0,99,113,24,25,,,,,,
2008,O=C(N1CCOCC)C2=C(C=CC=C2)[C@@]31C4=CC(C)=C(NCC)C=C4OC5=C3C=C(C)C(N(CC)CCOC)=C5,4.9,7,1,39,69,26,27,,,,,,
2009,O=C(N1NCOCC)C2=C(C=CC=C2)C31C4=CC=C(N(CC)CC)C=C4OC5=C3C=C(C6=NC(C=CC=C7)=C7N6CCCOC)C(O)=C5,4.5,7,1,38,88,28,29,,,,,,
2010,O=C(OC)C(C=C1)=CC=C1N2C(O[C@@H](OCCOC(C(C)(C)C[C@@H](C(OC)=O)Br)=O)C[C@@H]3C4=CC=CO4)=C3C(C(F)(F)F)=N2,5.5,2,1,11,67,22,23,,,,,,
2011,O=C(C)OC(C=C1)=CC=C1[C@@]2(C3=CC=CC=C3)OC4=C(C=CC5=C4C6=C(C=CC=C6)N5CCOC(C)=O)C=C2,5.3,6,1,38,59,1,2,,,,,,
2012,O=C(C)OCCN1C([C@]2([H])[C@]3(COC(OC4=C(/C=C/C(OC)=O)C=CC([C@@]5(OC)C6([C@H]7C[C@H]8C[C@@H]6C[C@H](C8)C7)OO5)=C4Cl)=O)C=C[C@](O3)(OC9=CC=C(OCCOC(C)=O)C=C9)[C@]2([H])C1=O)=O,4.3,2,1,25,57,0,1,,,,,,
2013,[H][C@]12[C@H]3[C@@](C(OC)=O)([H])C[C@H](O3)[C@@]1([H])N=NN2CC4=CC=C(C(OC)=O)C=C4,3.9,2,1,27,34,0,1,,,,,,
2014,[H][C@]12[C@H]3[C@](C(OC)=O)([H])C[C@H](O3)[C@@]1([H])N=NN2CC4=CC=C(C(OC)=O)C=C4,3.3,2,1,27,34,0,1,,,,,,
2015,O=C1N(CCOC(C(C)(C)[C@@H](C)C(OC)=O)=O)C([C@]2([H])[C@]3(COC(NC4=CC(OC(C=C5CC)=O)=C5C=C4)=O)C=C[C@](O3)(OC6=CC=C([C@@H](CCCOC(C(C(C)CC(OC)=O)(C)C)=O)OC(C7=CC=C(C(C)=CC(O8)=O)C8=C7)=O)C=C6OC)[C@@]21[H])=O,4.1,2,1,68,101,0,1,,,,,,
2016,O=C1N(CC(O)COCC)C([C@]2([H])[C@]3(COCC)C=C[C@@H](O3)[C@@]21[H])=O,3.9,2,1,29,40,3,4,,,,,,
2019,O=C1N(CC)C([C@]2([H])[C@@H]3C=C[C@](S3)(CC)[C@@]21[H])=O,4.6,2,1,18,22,0,1,,,,,,
2020,O=C1N(CCOC(C)=O)C([C@]2([H])[C@@H]3C=C[C@](S3)(COC(C)=O)[C@@]21[H])=O,4.5,2,1,29,35,0,1,,,,,,
2021,O=C1N(C)C([C@]2([H])[C@@H]3C=C[C@](O3)(C)[C@@]21[H])=O,4,2,1,17,18,0,1,,,,,,
2022,O=C1N(CCOC(C)=O)C([C@]2([H])[C@@H]3C=C(COC(C)=O)[C@@H](S3)[C@@]21[H])=O,6,2,0,24,34,0,1,,,,,,
2023,O=C1N(CCOC(C)=O)C([C@@]2([H])[C@@H]3C=C[C@](S3)(COC(C)=O)[C@]21[H])=O,4.6,2,1,29,35,0,1,,,,,,
2024,O=C1N(CCOC(C)=O)C([C@@]2([H])[C@@H]3C=C(COC(C)=O)[C@@H](S3)[C@]21[H])=O,6.1,2,0,24,34,0,1,,,,,,
2025,O=C1N(C)C([C@]2([H])[C@@H]3C=C[C@](N3)(C)[C@@]21[H])=O,4.5,2,1,17,18,0,1,,,,,,
2026,O=C1N(COC(C)=O)C([C@]2([H])[C@@H]3C=C[C@](C3)(COC(C)=O)[C@@]21[H])=O,4.8,2,1,24,30,0,1,,,,,,
2027,O=C1N(CCOC(C)=O)C([C@]2([H])[C@@H]3C=C(COC(C)=O)[C@@H](N3)[C@@]21[H])=O,5.7,2,1,23,33,0,1,,,,,,
2028,CC(OC(C=C1)=CC=C1/C=C/[C@@]23C4[C@H](C=CC=C4)[C@H]([C@H](C(N5CCOC(C)=O)=O)C3C5=O)C6=CC=CC=C62)=O,4.3,2,1,43,61,19,20,,,,,,
2029,CCOC1=CC([C@]2([H])[C@@](COC3)([H])[C@@H]3[C@@H]2C4=CC(OCC)=CC=C4)=CC=C1,4.5,1,1,12,33,18,39,,,,,,
2030,O=C(OCCCCOC(C)=O)C1=C(C(OCCCCOC(C)=O)=O)C2C3=C(C1C=C2)C(C4=CC=CC=C4)=C(C=CC=C5)C5=C3C6=CC=CC=C6,6.1,7,0,62,84,X,X,,,,,,
2031,O=C(C)C1=C(C(C)=O)C2C3=C(C=CC=C3)C1C4=C2C=CC=C4,5.5,7,0,23,28,X,X,,,,,,
2032,O=C(CC(C)(C)C(C(OC)=O)C)O[C@H]1C2=C(OC(C)=O)C=CC=C2C1,4.2,1,0,15,45,2,10,,,,,,
2033,O=C1N(CCOC(C(C)(C)CC(C(OC)=O)CC)=O)C([C@]2(SCCC)[C@@]3(SCCC)[C@@](C(N(CCOC(C(C)(C)C[C@@H](C(OC)=O)CC)=O)C3=O)=O)(SCCC)[C@@]21SCCC)=O,6.3,1,0,56,74,X,X,,,,,,
2034,O=C1N(CCOC(C(C)(C)CC(C(OC)=O)CC)=O)C([C@@]2(SCCC)[C@@]3(SCCC)[C@@](C(N(CCOC(C(C)(C)C[C@@H](C(OC)=O)CC)=O)C3=O)=O)(SCCC)[C@]21SCCC)=O,6.3,1,0,30,109,X,X,,,,,,
2035,CO[C@@]12[C@H]([C@H]([C@]2(OCC)C(OC)=O)OCC)C[C@H]([C@@]3(C1)OC)C3(Cl)Cl,2.9,1,1,32,39,6,7,,,,,,
2036,CCC([C@@]1(C)CC(C)(C)[C@]1(C)CCC(C)C)=C,4.5,1,1,25,41,0,2,,,,,,
2037,O=C1N(CCOC(C)=O)C([C@]2(SCCC)[C@@]3(SCCC)[C@@](C(N(CCOC(C(C)(C)C[C@@H](C(OC)=O)CC)=O)C3=O)=O)(SCCC)[C@@]21SCCC)=O,6.1,1,0,40,47,X,X,,,,,,
2038,O=C1[C@@]([H])([C@](C(O2)=O)([C@](C(C=C3)=C2C=C3OC)4COC(NC5=CC=CC=C5)=O)[H])[C@]4(COC(NC6=CC=CC=C6)=O)C7=C(C=C(OC)C=C7)O1,4.8,1,1,30,34,1,2,,,,,,
2039,O=C1[C@]([H])([C@](C(O2)=O)([C@](C3=C2C=C(C=C3)OC)4[H])[H])[C@@]4([H])C5=C(C=C(OC)C=C5)O1,3.1,1,1,30,34,1,2,,,,,,
2040,O=C1[C@]([H])([C@](C(O2)=O)([C@](C3=C2C=C(C=C3)OC)4OC)[H])[C@@]4(OC)C5=C(C=C(OC)C=C5)O1,3.1,1,1,30,34,1,2,,,,,,
2041,O=C1[C@@]2([H])[C@@]([C@](C(O3)=O)([C@]2([H])C4=C3C=C(C=C4)OC)[H])([H])C5=C(C=C(OC)C=C5)O1,6.5,1,0,15,34,X,X,,,,,,
2042,O=C1[C@]([H])([C@@](C(O2)=O)([C@@](C=C2/C=C(C)/OC)3COC([H])=O)[H])[C@@]3(COC([H])=O)C4=C(C=C(OC)C=C4)O1,5.6,1,1,30,34,1,2,,,,,,
2043,O=C1[C@]([H])([C@@](C(O2)=O)([C@@](C(C3)=C2C=C(C3OC)OC)4[H])[H])[C@@]4([H])C5=C(C=C(OC)C(OC)=C5)O1,6,1,1,28,32,1,2,,,,,,
2044,O=C1[C@]([H])([C@@](C(O2)=O)([C@@](C(C3)=C2C=C(C3OC)OC)4COC=O)[H])[C@@]4(COC=O)C5=C(C=C(OC)C(OC)=C5)O1,5.1,1,1,28,32,1,2,,,,,,
2045,CCOC(C=C1)=CC=C1[C@H]2[C@H](COC3)[C@H]3[C@H]2C4=CC=C(OCC)C=C4,2.4,1,1,22,30,36,37,,,,,,
2046,CCOC1=CC([C@H]2[C@H](COC3)[C@H]3[C@H]2C4=CC(OCC)=CC=C4)=CC=C1,4.1,1,1,35,42,18,19,,,,,,
2047,CCOC1=CC=CC=C1[C@H]2[C@H](COC3)[C@H]3[C@H]2C4=C(OCC)C=CC=C4,4.7,1,1,36,44,16,17,,,,,,
2048,O=C(C(C)C)OC(C=C1)=CC2=C1C3(OO[C@@]34[C@H]5C[C@H](C6OC([C@H](C)CC)=O)C[C@@H]4C[C@H]6C5)C7=CC=CC=C7O2,4,1,1,23,67,14,19,,,,,,
2049,O=C(OCC)[C@H]1[C@H](C2=CC=NC=C2)[C@H](C3=CC=NC=C3)[C@H]1C(OCC)=O,4.8,1,1,14,20,2,4,,,,,,
2050,CCOC1=CC=CC=C1[C@H]2[C@H](COC3)[C@H]3[C@@H]2C4=C(OCC)C=CC=C4,3.9,1,1,36,44,16,17,,,,,,
2051,O=C(OCC)[C@H]1[C@H](C2=CC=NC=C2)[C@H](C3=CC=NC=C3)[C@H]1C(OCC)=O,5.4,1,1,14,20,2,4,,,,,,
2052,O=C(OC)[C@]1(Cl)[C@@H](Cl)[C@@H](Cl)[C@]1(Cl)C(OC)=O,3.4,1,1,14,15,2,4,,,,,,
2053,O=C(OC)[C@@]1(F)CC[C@@]1(F)C(OC)=O,3.8,1,1,14,15,2,4,,,,,,
2054,O=C(OC)[C@@]1(F)[C@H](F)[C@H](F)[C@@]1(F)C(OC)=O,3.4,1,1,14,15,2,4,,,,,,
2055,O=C(N(CC)C(N1CCN2C(C=CC=C3)=C3SC4=C2C=CC=C4)=O)[C@@]5(C)[C@]1([H])[C@](N(C)C(N6CC)=O)([H])[C@@]5(C)C6=O,6,1,1,17,35,5,6,,,,,,
2056,O=C(N(CC)C(N1CCN2C(C=CC=C3)=C3SC4=C2C=C(Cl)C=C4)=O)[C@@]5(C)[C@]1([H])[C@](N(C)C(N6CC)=O)([H])[C@@]5(C)C6=O,5.9,1,1,17,35,5,6,,,,,,
2057,O=C(N(CC)C(N1C)=O)[C@@]2(C)[C@]1([H])[C@](N(C)C(N3CC)=O)([H])[C@@]2([H])C3=O,6.1,1,1,17,31,5,6,,,,,,
2058,O=C(N(CC)C([N]1)=O)[C@@]2([H])[C@]1([H])[C@]([N]C(N3CC)=O)([H])[C@@]2([H])C3=O,6.3,1,0,17,31,5,6,,,,,,
4029,CC1=C[C@]2(C)[C@]([C@]3(CO[C@](C4=C(C)C(C(C)=C(OC)O4)=O)([H])C3)[C@@H]2C5=CC=C([N+]([O-])=O)C=C5)([H])C(C)=C1,3.8,1,1,12,58,5,7,,,,,,
2060,CC1=CC([C@H]2[C@H](C3=CC(C)=NC=C3)[C@H](C4=CC=NC=C4)[C@H]2C5=CC=NC=C5)=CC=N1,5.9,1,1,21,36,1,31,,,,,,
2062,[H][C@@]1(C(OCCC)=O)C[C@](C(O2)=O)([C@]1([H])C3=C2C=C(C=C3)OC)CC(OCC)=O,3.3,1,1,16,29,1,2,,,,,,
2063,CCCCC[C@H]1[C@H](COC2=O)[C@H]2[C@H]1CCCC(C)=O,4,1,1,25,31,0,2,,,,,,
2064,CCCCC[C@H]1[C@H](CN(C)C2=O)[C@H]2[C@@H]1CCCC(C)=O,4.8,1,1,25,31,0,2,,,,,,
2065,CCCCC[C@@H]1[C@H](CN(CC2=CC=CC=C2)C3=O)[C@H]3[C@@H]1CCCC(C)=O,3.9,1,1,25,29,0,2,,,,,,
2066,CC(C=C1)=CC=C1[C@H]2[C@H](C3=C(F)C(F)=C(F)C(F)=C3F)[C@H](C4=C(F)C(F)=C(F)C(F)=C4F)[C@H]2C5=CC=C(C)C=C5,2.2,1,1,48,52,0,25,,,,,,
2067,CC([C@@]12[C@H]3C4=C(C=CC=C4)[C@H]([C@H]5C6=CC=CC=C6[C@]2(C(C)=O)[C@@H]3C7=C5C=CC=C7)C8=CC=CC=C81)=O,3.6,1,1,52,56,11,34,,,,,,
2068,O=C(CCC#C)OC[C@H]1[C@H](C(OCCCC)=O)[C@H](C(OCCCC)=O)[C@H]1COC(CCC#C)=O,4.6,1,1,45,59,0,3,,,,,,
2069,O=C(OC)C(C=C1)=CC=C1[C@@H]2CC[C@@H]2C3=CC=C(C(OC)=O)C=C3,2.6,1,1,33,38,0,15,,,,,,
2070,O=C(OC)C(C=C1)=CC=C1[C@@H]2[C@@H](C(C3=CC=CC=C3)=O)[C@@H](C(C4=CC=CC=C4)=O)[C@@H]2C5=CC=C(C(OC)=O)C=C5,2.9,1,1,29,34,0,15,,,,,,
2071,O=C(OC)C(C=C1)=CC=C1[C@@H]2[C@@H](C(C3=CC=CC=C3)=O)C[C@@H]2C4=CC=C(C(OC)=O)C=C4,2.7,1,1,29,34,0,15,,,,,,
2072,O=C(OC)C(C=C1)=C(Br)C=C1[C@@H]2[C@@H](C(OC)=O)C[C@H]2C3=CC=C(C(OC)=O)C=C3,5,1,1,28,33,0,14,,,,,,
2073,O=C(OC)C(C=C1C)=CC=C1[C@@H]2[C@@H](C(OC)=O)C[C@H]2C3=CC=C(C(OC)=O)C=C3,4.9,1,1,27,32,0,13,,,,,,
2074,O=C(OC)C(C=C1C)=CC=C1[C@@H]2[C@@H](C(OC)=O)C[C@H]2C3=CC=C(CC)C=C3,4.9,1,1,26,28,0,13,,,,,,
2077,O=C(OC)C(C(OC)=C1)=CC=C1[C@H]2[C@H](C3=CC=C(CC)C=C3)[C@@H](C(OC)=O)C2,5,1,1,26,48,0,12,,,,,,
2078,O=C(OC)[C@@H]1[C@@H](C2=CC(OC(CC)O3)=C3C=C2)[C@H](C4=CC(OC)=C(OCC)C=C4OC)C1,6.3,1,0,36,46,0,11,,,,,,
2079,C[C@]1([C@H]2CC[C@H]1CC)CC[C@H]([C@H]2CC3)[C@](C3=C4)(C)CC5[C@@]4(O)[C@@H]6[C@@]57[C@](CCC(C7)=O)(C)[C@H]8[C@H]([C@H](CC[C@H]9CC)[C@@]9(C)CC8)C6,6.2,1,0,60,102,X,X,,,,,,
2080,OC(C(C=C1)=CC=C1/C=C/[C@@H]2[C@H](/C=C/C3=CC=C(C(O)=O)C=C3)[C@@H](C4=CC=C(CC)C=C4)[C@H]2C5=CC=C(CC)C=C5)=O,2.6,1,1,64,71,1,3,,,,,,
2081,CC([C@H]1[C@H](C2=CC=C(C(O)=O)C=C2)[C@H](/C=C/C3=CC=C(C(O)=O)C=C3)[C@H]1C4=CC=C(CC)C=C4)=O,3.8,1,1,11,52,1,3,,,,,,
2082,CC(N1CN(CC(OC)=O)[C@@H]1[C@@H](C)C(OC)=O)=O,5.7,1,0,18,31,0,2,,,,,,
2083,CC(N1C[C@H]([C@H](C)C(OC)=O)N1CC(OC)=O)=O,4.9,1,1,7,26,1,30,,,,,,
2084,O=C1N=C(C(Cl)(Cl)C(Cl)(Cl)Cl)O[C@@H](C2=C(N(C)C)C=C(C(C)=O)C=C2)N1C3=CC=CC=C3,4.7,1,0,5,46,X,X,,,,,,
2085,CCOC(C=C1)=CC=C1C2=NC(N(C=C(S[C@@H]3CN[C@H](C(N(C)CC)=O)C3)C4(C)C)[C@H]4O2)=O,3.9,1,0,34,59,X,X,,,,,,
2086,O=C1N(C2=CC=C(OCC(OC)=O)C=C2)N(C3=CC=C(OCC)C=C3)C1(C4=CC=CC=C4)C5=CC=CC=C5,3.6,1,1,19,27,39,40,,,,,,
2087,O=C(OC)COC(C=C1)=CC=C1N(C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=O)N4C5=CC=C(OCC)C=C5,3.6,1,1,19,27,39,40,,,,,,
2088,O=C(OC)COC(C=C1)=CC=C1[C@H](C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=O)N4C5=CC=C(OCC)C=C5,4.3,1,1,19,27,39,40,,,,,,
2089,O=C1N(C2=CC=C(OCC(OC)=O)C=C2)[C@H](C3=CC=C(OCC)C=C3)C1(C4=CC=CC=C4)C5=CC=CC=C5,4.4,1,1,19,27,39,40,,,,,,
2090,CS(NN1C(C(OCC)=O)=C(C(OCC)=O)N(C1=C2S(C)(=O)=O)C3=C2C=C(OCC)C=C3)(=O)=O,6.4,7,0,33,51,X,X,,,,,,
2091,O=S(NN1C(C(OCC)=O)=C(C(OCC)=O)N(C1=C2S(C3=CC=CC=C3)(=O)=O)C4=C2C=C(OCC)C=C4)(C5=CC=CC=C5)=O,6.3,7,0,27,45,X,X,,,,,,
2092,O=S(NN1C(C(OCC)=O)=C(C(OCC)=O)N(C1=C2S(C3=CC=C(C)C=C3)(=O)=O)C4=C2C=C(OCC)C=C4)(C5=CC=C(C)C=C5)=O,6.3,7,0,27,45,X,X,,,,,,
2093,O=S(NN1C(C(OCC)=O)=C(C(OCC)=O)N(C1=C2S(C3=CC=C(C)C=C3)(=O)=O)C4=C2C=C(OCC)C=C4)(C5=CC=C(Cl)C=C5)=O,6.5,7,0,27,45,X,X,,,,,,
2094,[H][C@@]12[C@@](C[C@@H]2[C@H]3OCC(CC)O3)([H])CCCCC/C(C(C)=O)=C\\1,5.4,1,0,24,40,2,3,,,,,,
2095,[H][C@@]12[C@@](C[C@H]2[C@@H]3OCC(CC)O3)([H])CCCCC/C(C(C)=O)=C\\1,3.6,1,1,24,40,2,3,,,,,,
2096,O=C(OCC)[C@H]1[C@]2(C(NC3=C2C=C(F)C=C3)=O)[C@](C4=O)(C(C=C(F)C=C5)=C5N4)[C@@H]1C(OCC)=O,5.9,1,1,9,19,1,3,,,,,,
2097,O=C(OCC)[C@H]1[C@]2(C(NC3=C2C=C(OC)C=C3)=O)[C@](C4=O)(C(C=C(OC)C=C5)=C5N4)[C@@H]1C(OCC)=O,6,1,1,9,19,1,3,,,,,,
2098,O=C(OCC)[C@H]1[C@]2(C(NC3=C2C=CC=C3Cl)=O)[C@](C4=O)(C(C=CC=C5Cl)=C5N4)[C@@H]1C(OCC)=O,5.9,1,1,9,19,1,3,,,,,,
2099,O=C(OC)[C@H]1[C@]2(C(N(C3=CC=CC=C3)C4=C2C=CC=C4)=O)[C@](C5=O)(C(C=CC=C6)=C6N5C7=CC=CC=C7)[C@@H]1C(OC)=O,5.7,1,1,8,12,1,3,,,,,,
2102,[H][C@]12[C@@H]3C4=C(C=C(C(C)=O)C=C4)[C@@H](O3)[C@@]1([H])C(C(C)=O)=NO2,5.6,2,0,19,28,9,11,,,,,,
2103,[H][C@]12[C@]3(C)C4=C(C=C(C(C)=O)C=C4)[C@](O3)(C)[C@@]1([H])C(C(C(F)(F)F)(F)F)=NN2,5.6,2,0,19,27,9,11,,,,,,
2104,O=C(OC)C(C=C1)=CC=C1[C@@H]2OO[C@H]2C3=CC=C(C(OC)=O)C=C3,5,1,1,18,24,0,1,,,,,,
2105,O=C(OC)C(C=C1)=CC=C1[C@H]2OO[C@H]2C3=CC=C(C(OC)=O)C=C3,2,1,1,18,24,0,1,,,,,,
2106,C[C@@]1(CC)OO[C@@]1(CC)C,4.4,1,1,5,8,0,1,,,,,,
2107,CC(OC1[C@@H]2C[C@H](C[C@H]1C[C@@H]3C2)[C@@]43OO[C@@](C5=CC=C(OCC#CC)C=C5)4OC)=O,4.4,1,1,11,36,0,1,,,,,,
2108,CC(OC1[C@@H]2C[C@H](C[C@H]1C[C@@H]3C2)[C@@]43OOC(C5=CC(O)=C(/C=C/C(OC)=O)C(OC)=C5Cl)4OC)=O,4.4,1,1,11,56,0,1,,,,,,
2109,CC(OC1[C@@H]2C[C@H](C[C@H]1C[C@@H]3C2)[C@@]43OO[C@@](C5=CC(OC)=C(/C=C/C(OC)=O)C(O)=C5Cl)4OC)=O,4.4,1,1,11,52,0,1,,,,,,
2110,O=C(C)OC1[C@H]2C[C@@H](C[C@@H]1C[C@H]3C2)[C@]43OOC54C6=C(C=CC=C6)N(CC(OCC)=O)C7=CC=CC=C75,4,1,1,22,60,14,19,,,,,,
2111,O=C1N(C2=CC=CC(C(C)=O)=C2)C([C@@]3([H])[C@@]4(COC(C)=O)C=C5[C@@](C4)([C@@H]6CC=C[C@@H](O6)C5(C)C)[C@]31[H])=O,5.4,2,1,29,59,3,4,,,,,,
2112,O=C1N2[C@@](O[C@@H](CCC)CC2)([H])[C@H]1CC,4.8,1,1,15,27,0,1,,,,,,
2113,O=C1N(CCOC(C)=O)C([C@]2(C#N)[C@]3(COC(C)=O)C=C[C@@H](O3)[C@@]21C#N)=O,2.9,2,1,19,27,0,1,,,,,,
2114,O=C(O1)[C@@]2(C)[C@@]3([C@H](C(F)(F)F)OCC)C4=CC=CC=C4[C@]([C@H]2C1=O)(C)C5=C3C=CC=C5,4,2,1,27,41,18,21,,,,,,
2115,O=C(O1)[C@@]([C@@H]2C1=O)(C)[C@@]3([C@H](C(F)(F)F)OCC)C4=CC=CC=[S@@]4[C@@H]2C5=C3C=CC=C5,3,2,1,36,48,16,19,,,,,,
2116,O=C1N(CC(C)OCC)C([C@]2([H])[C@]3(CNCCN(C)C)C=C[C@@H](O3)[C@@]21[H])=O,3.9,2,1,19,43,0,1,,,,,,
2117,O=C1[C@H]2[C@](C)([C@]3(C4=CC=CC=C4[C@@]2(C5=C3C=CC=C5)C)[C@@H](OCC)C(F)(F)F)[C@@H](O1)OC(C)=O,4.1,2,0,37,50,17,20,,,,,,
2118,O=C1N(CCOC(C)=O)C([C@]2([H])[C@]3(COC(C)=O)C=C[C@@H](O3)[C@@]21Cl)=O,4,2,1,19,27,0,1,,,,,,
2119,O=C1N(CCOC(C)=O)C([C@@]2([H])[C@]3(COC(C)=O)C=C[C@@H](O3)[C@]21C#N)=O,4.2,2,1,19,27,0,1,,,,,,
2120,O=C1N2N(C(N1C3=CC=C(CC)C=C3)=O)[C@@]4(COC(C)=O)C5=CC=CC=C5[C@@H]2C6=C4C=CC=C6,3.9,2,1,31,43,17,20,,,,,,
2121,O=C(N1CCOC(C(C)(C)CC)=O)[C@H]([C@@H]2C1=O)[C@@]3(C#CC4=CC=CC=C4OC(C(C)(C)CC)=O)C5=CC=CC=C5[C@@H]2C6=C3C=CC=C6,4.1,2,1,56,74,19,20,,,,,,
2122,O=C(N1CCOC(C(C)(CC)C)=O)[C@H]([C@@H]2C1=O)[C@@]3(C#CC4=CC=CC(OC(C(CC)(C)C)=O)=C4)C5=CC=CC=C5[C@@H]2C6=C3C=CC=C6,4.1,2,1,55,73,19,20,,,,,,
2123,O=C(N1CCOC(C(CC)(C)C)=O)[C@H]([C@@H]2C1=O)[C@@]3(C#CC4=CC=C(OC(C(C)(C)CC)=O)C=C4)C5=CC=CC=C5[C@@H]2C6=C3C=CC=C6,4.1,2,1,55,81,19,20,,,,,,
2124,O=C(N1CCC)[C@H]([C@]2(N3CCCCC3)C1=O)[C@@]4(COC(C(CC)(C)Br)=O)C5=CC=CC=C5[C@@H]2C6=C4C=CC=C6,4.5,2,1,41,76,17,20,,,,,,
2125,O=C(N1CCC)[C@H]([C@]2(N3CCCCC3)C1=O)[C@@]4(CN5CCOCCOCCN(C)CCOCCOCC5)C6=CC=CC=C6[C@@H]2C7=C4C=CC=C7,4.5,2,1,35,103,17,20,,,,,,
2126,O=C(N1CCC)[C@H]([C@@H]2C1=O)[C@@]3(C#CC4=CC=C(OCC)C=C4)C5=CC=CC=C5[C@@H]2C6=C3C=CC=C6,4,2,1,36,54,19,20,,,,,,
2127,O=C1N(CCOC(C)=O)C([C@]2([H])[C@]3(C4=C(C)SC(COC(C)=O)=C4)C(C5=C(C)SC(C6=CC=CC=C6)=C5)=C[C@@H](C3)[C@@]21[H])=O,4.1,2,1,20,67,0,1,,,,,,
2128,O=C(N1COC(/C=C\\C)=O)[C@H]([C@@H]2C1=O)[C@@]3(COC(/C=C\\C)=O)C4=CC=CC=C4[C@@H]2C5=C3C=CC=C5,4.6,2,1,39,48,17,20,,,,,,
2129,O=C(C(C(CCC)C(C=CC=C1)=C1C2C)C2C3=O)N3C4=CC=CC=C4OC(C)=O,5.4,2,1,35,47,10,11,,,,,,
2130,O=C(C(C(CCC)C(C=CC=C1)=C1C2C)C2C3=O)N3C4=CC=CC(OC(C)=O)=C4,5.5,2,1,39,49,10,11,,,,,,
2131,O=C(C(C(CCC)C(C=CC=C1)=C1C2C)C2C3=O)N3C4=CC=C(OC(C)=O)C=C4,6.2,2,0,38,48,10,11,,,,,,
2132,O=C(C(C(CCC)C(C=CC=C1)=C1C2C)C2C3=O)N3C4=C(CC=C5CC=C6)C(C5=C6C=C7)=C7C(OC(C)=O)=C4,5.3,2,0,36,46,10,11,,,,,,
2133,O=C(C)C(C=C1)=CC=C1C(C2=C3[C@]([C@H](C)CCC4)([H])[C@]4([H])[C@@](/C=C/C)([H])O2)=CNC3=O,4.7,2,1,11,46,10,11,,,,,,
2134,O=C(C)C(C=C1)=CC=C1[C@]23C4=C(C=CC=C4)[C@@](C5=CC=C(C(C)=O)C=C5)(OO3)C6=CC=CC=C62,5.4,7,0,25,45,X,X,,,,,,
2135,CN([C@@H]([C@@]12C(CN([C@@]1(CCC[C@@]23[H])[H])CCOC(C)=O)=O)C=C4)[C@]43COC(C)=O,6.1,2,0,29,48,X,X,,,,,,
2136,O=C(OCCN(CC(C12[C@H]3O[C@@]4(C=C3)COC(C)=O)=O)[C@@]1(CCC[C@]24[H])[H])C,6.1,2,0,25,44,X,X,,,,,,
2137,O=C(OCCN(CC(C12[C@H]3C[C@@]4(C=C3)COC(C)=O)=O)[C@@]1(CCC[C@]24[H])[H])C,6.1,2,0,25,44,X,X,,,,,,
2138,CC(OCC[C@]1([C@H]2C3C=C4C(C=C(C=C(OC(C)=O)C=C5)C5=C4)=C2)C6=CC7=C(C=CC=C7)C=C6[C@@H]3C=C1)=O,3.1,2,1,16,57,9,12,,,,,,
2139,CC(OCC[C@]1([C@H]2[C@]3(C=C4C(C=CC=C4)=C5)C5=CC=C2OC(C)=O)C6=CC7=C(C=CC=C7)C=C6[C@@H]3C=C1)=O,3.5,2,1,14,52,9,59,,,,,,
2140,CC(OCC[C@@]1(C2=CC=CC=C2[C@@H]3C4=C1C=CC=C4)[C@H]5[C@]63C=C7C(C=CC=C7)=CC6=CC=C5OC(C)=O)=O,3.4,2,1,14,42,9,49,,,,,,
2141,O=C1N(C2=CC=C(OC(C)=O)C=C2)C([C@]3([H])[C@@]4([H])C(CCC4)=C5[C@@](C=C(OC(C)=O)S5)([H])[C@@]31[H])=O,4.9,2,1,13,47,19,24,,,,,,
